Hours passed (Hours),Number of Outages (outages)
0.000000,16041.0
6.000000,14741.0
23.000000,15667.0
46.000000,11412.0
47.000000,11345.0
48.000000,11374.0
48.500000,11301.0
49.000000,11356.0
50.000000,11346.0
51.000000,11047.0
52.000000,11169.0
54.000000,10983.0
55.000000,11151.0
56.000000,10979.0
57.000000,10885.0
58.000000,9986.0
59.000000,9493.0
60.000000,9409.0
67.000000,9452.0
69.000000,10147.0
70.000000,10441.0
71.000000,10538.0
71.250000,10520.0
71.500000,10458.0
71.750000,10455.0
72.000000,10415.0
74.72,9858
74.9,9850
75.2,9805
75.38,9793
75.72,9594
75.9,9332
76.2,8845
76.38,8260
76.7,8929
76.87,8885
77.22,8886
77.52,8873
77.72,8836
78.03,8705
79.0,8448
79.73,8139
79.88,8086
80.03,8044
80.37,7839
80.7,7740
80.88,7608
81.2,7531
81.37,7429
81.7,7391
81.88,7331
82.22,7210
82.37,7113
82.72,6976
83.07,6925
83.38,6884
83.68,6823
83.87,6789
84.37,6714
84.72,6674
84.88,6647
85.22,6597
85.38,6582
85.72,6545
85.88,6512
86.22,6457
86.38,6401
86.88,6260
87.22,6187
87.38,6160
87.53,6133
87.88,6060
88.22,6024
88.37,6014
88.72,5950
88.88,5927
89.22,5994
89.4,5821
89.73,5820
89.88,5795
90.22,5779
90.4,5800
90.73,5817
90.9,5827
91.22,5837
91.38,5849
91.72,5875
91.9,5906
92.22,5917
92.4,5917
92.73,5920
92.9,5920
93.22,5916
93.38,5935
93.72,5974
93.88,5932
94.2,5846
94.38,5828
94.72,5769
94.88,5714
95.22,5644
95.38,5607
95.72,5544
95.88,5494
96.23,5466
96.37,5462
96.72,5405
96.88,5383
97.4,5317
97.72,5287
97.88,5269
98.22,5210
98.38,5127
98.72,5029
98.88,4980
99.22,4899
99.38,4899
99.72,4664
99.9,4618
100.2,4525
100.38,4511
100.73,4444
100.87,4389
101.2,4269
101.38,4244
101.72,3706
101.88,3224
102.22,3172
102.38,3140
102.7,3047
102.87,3014
103.2,2960
103.37,2913
103.88,2766
104.22,2694
104.38,2659
104.7,2580
104.88,2534
105.22,2444
105.37,2417
105.72,2392
105.88,2414
106.2,2328
106.38,2283
106.72,2231
106.88,2199
107.22,2158
107.38,2138
107.72,2116
107.88,2102
108.22,2070
108.38,2039
108.72,1995
108.88,1999
109.22,1949
109.37,1941
109.72,1889
109.87,1863
110.22,1839
110.38,1840
110.72,1799
110.88,1788
111.22,1771
111.38,1743
111.7,1697
111.88,1679
112.2,1649
112.4,1630
112.72,1590
112.88,1570
113.23,1539
113.4,1525
113.73,1499
113.87,1495
114.22,1489
114.38,1484
114.72,1486
114.88,1489
115.22,1499
115.37,1513
115.72,1484
115.9,1491
116.22,1489
116.38,1501
116.72,1507
116.88,1505
117.23,1475
117.38,1475
117.72,1397
117.88,1376
118.22,1359
118.38,1328
118.72,1299
118.88,1286
119.38,1255
120,1186
120.72,1126
120.88,1130
121.05,1126
121.38,1082
121.72,1037
121.87,1019
122.22,1002
122.4,992
122.72,962
122.87,949
123.22,944
123.38,934
123.7,905
123.9,883
124.22,963
124.35,945
124.7,947
124.87,929
125.2,913
125.38,906
125.7,937
125.88,939
126.22,1032
126.37,1066
126.72,1142
126.9,1209
127.2,1137
127.37,1131
127.7,1069
127.85,1091
128.2,1145
128.37,1155
128.7,1151
128.85,1156
129.2,1132
129.37,1114
129.7,1119
129.85,1101
130.18,1096
130.37,1089
130.72,1114
130.88,1126
131.22,1097
131.4,1095
131.72,1042
131.9,1032
132.2,1002
132.37,991
132.72,977
132.88,964
133.23,950
133.37,935
133.72,917
133.9,914
134.22,889
134.38,883
134.7,856
134.88,834
135.22,740
135.38,720
135.72,690
135.88,683
136.22,661
136.37,647
136.72,616
136.88,594
137.22,579
137.38,567
137.72,546
137.88,538
138.22,555
138.4,560
138.73,576
138.88,592
139.22,613
139.38,646
139.73,685
139.88,654
140.23,668
140.37,682
140.7,702
140.87,711
141.22,704
141.38,706
141.72,731
141.88,744
142.22,779
142.4,804
142.73,812
142.88,807
143.2,817
143.38,800
143.57,775
143.9,750
144.05,745
144.37,759
144.72,772
144.88,784
145.72,717
146.07,734
146.88,757
